"";"";"";"";"";"";"";"";"";"";"";"r_mean"
392.239884153265;-168.102807494256;-168.102807494256;392.239884153265;-168.102807494256;-168.102807494256;0;0;0;0;0;1.04090352925031
392.239884153265;392.239884153265;-168.102807494256;392.239884153265;-168.102807494256;-168.102807494256;0;0;0;0;0;0.968339216945609
-168.102807494256;-168.102807494256;392.239884153265;392.239884153265;-168.102807494256;-168.102807494256;0;0;0;0;0;0.930619193836874
-168.102807494256;-168.102807494256;-168.102807494256;392.239884153265;-168.102807494256;-168.102807494256;0;0;0;0;0;2.49739448334255e-05
392.239884153265;-168.102807494256;392.239884153265;392.239884153265;392.239884153265;-168.102807494256;0;0;0;0;0;0.619561479582637
392.239884153265;-168.102807494256;392.239884153265;-168.102807494256;-168.102807494256;392.239884153265;0;0;0;0;0;1.04215765728068
0;0;0;0;0;0;392.239884153265;-168.102807494256;392.239884153265;0;0;1.04287042819092
0;0;0;0;0;0;-168.102807494256;392.239884153265;-168.102807494256;0;0;1.04006840211696
0;0;0;0;0;0;-168.102807494256;392.239884153265;392.239884153265;0;0;1.03241181022212
0;0;0;0;0;0;0;0;0;392.239884153265;-168.102807494256;0.33589417065844
0;0;0;0;0;0;0;0;0;-168.102807494256;392.239884153265;0.997551440712221
